name,category,price_range,estado,texto_recomendacao_limpo
brooklyn,lanches,cheapest,ce,brooklyn lanches cheapest ce
amaju marmitas e doces,brasileira,cheapest,sp,amaju marmitas e doces brasileira cheapest sp
kingstore,conveniência,cheapest,pi,kingstore conveniencia cheapest pi
maclanch'es,lanches,cheap,rj,maclanch es lanches cheap rj
love cokes,doces & bolos,cheapest,rj,love cokes doces bolos cheapest rj
paris no cerrado,doces & bolos,cheapest,go,paris no cerrado doces bolos cheapest go
artesanato da pizza,pizza,moderate,rj,artesanato da pizza pizza moderate rj
empório lusitano,lanches,cheapest,rj,emporio lusitano lanches cheapest rj
sully delivery,italiana,cheapest,mg,sully delivery italiana cheapest mg
mania de açaí - parque do carmo,açaí,cheapest,sp,mania de acai parque do carmo acai cheapest sp
black beer,bebidas,cheapest,sp,black beer bebidas cheapest sp
ô lá em casa,doces & bolos,cheapest,sp,o la em casa doces bolos cheapest sp
restaurante churrascaria canto do sabor,carnes,cheapest,ma,restaurante churrascaria canto do sabor carnes cheapest ma
point da coxinha,brasileira,cheapest,pa,point da coxinha brasileira cheapest pa
bolos e sabores nova suíça,doces & bolos,cheap,go,bolos e sabores nova suica doces bolos cheap go
nutrifit alimentação saudável,saudável,moderate,ce,nutrifit alimentacao saudavel saudavel moderate ce
oxii que dia linduu,marmita,cheapest,sp,oxii que dia linduu marmita cheapest sp
grãos café - pratos finos,brasileira,cheapest,rn,graos cafe pratos finos brasileira cheapest rn
brasileirissímo marmitaria,marmita,cheapest,sp,brasileirissimo marmitaria marmita cheapest sp
menu poke coqueiros,saudável,moderate,sc,menu poke coqueiros saudavel moderate sc
creamy cafe saudavel,cafeteria,cheapest,sp,creamy cafe saudavel cafeteria cheapest sp
el fritu's,brasileira,cheapest,sc,el fritu s brasileira cheapest sc
paladar tropical ii,brasileira,cheap,rn,paladar tropical ii brasileira cheap rn
pizza hype,pizza,moderate,rj,pizza hype pizza moderate rj
mel doces,doces & bolos,cheapest,mg,mel doces doces bolos cheapest mg
mine padaria lanchonete,lanches,cheapest,ba,mine padaria lanchonete lanches cheapest ba
massas belan,marmita,cheapest,al,massas belan marmita cheapest al
coco sabor,saudável,cheapest,rj,coco sabor saudavel cheapest rj
niterói gourmet,brasileira,cheapest,rj,niteroi gourmet brasileira cheapest rj
lanchonete e espetaria rossin,lanches,cheapest,sp,lanchonete e espetaria rossin lanches cheapest sp
ki pizza delivery,pizza,cheapest,rs,ki pizza delivery pizza cheapest rs
dashi sushi - vilas do atlântico,japonesa,most_expensive,ba,dashi sushi vilas do atlantico japonesa most expensive ba
cacau show - centro - monte mor,doces & bolos,cheapest,sp,cacau show centro monte mor doces bolos cheapest sp
zakas burgers,lanches,expensive,sp,zakas burgers lanches expensive sp
the snack,lanches,cheapest,pb,the snack lanches cheapest pb
estacao 10,brasileira,cheapest,rj,estacao 10 brasileira cheapest rj
luli's dog,lanches,cheap,sp,luli s dog lanches cheap sp
temperando t-pizzas,pizza,cheap,rj,temperando t pizzas pizza cheap rj
tilápia fernandes,peixes,cheapest,sp,tilapia fernandes peixes cheapest sp
o caipira restaurante,brasileira,cheapest,pr,o caipira restaurante brasileira cheapest pr
steak board,carnes,cheapest,sp,steak board carnes cheapest sp
lanchonete e pizzaria coronel lisboa,brasileira,cheapest,sp,lanchonete e pizzaria coronel lisboa brasileira cheapest sp
refeições 2 é,marmita,cheapest,pe,refeicoes 2 e marmita cheapest pe
de roê - lambeiceria (grelhados),carnes,cheap,pr,de roe lambeiceria grelhados carnes cheap pr
mania lanches,lanches,cheapest,se,mania lanches lanches cheapest se
sabor do açaí,açaí,cheapest,se,sabor do acai acai cheapest se
mega batatas,lanches,cheapest,am,mega batatas lanches cheapest am
gama burguers,lanches,cheap,sp,gama burguers lanches cheap sp
trem bão pão de queijaria e pizzaria,pizza,cheapest,sp,trem bao pao de queijaria e pizzaria pizza cheapest sp
cafe e arte,cafeteria,cheapest,sp,cafe e arte cafeteria cheapest sp
parada obrigatoria,brasileira,cheapest,es,parada obrigatoria brasileira cheapest es
rai lanches,brasileira,cheapest,sp,rai lanches brasileira cheapest sp
restaurante brasileirão,brasileira,cheapest,mg,restaurante brasileirao brasileira cheapest mg
autênticos bar e restaurante,bebidas,cheapest,rj,autenticos bar e restaurante bebidas cheapest rj
papa dória pizzaria,pizza,most_expensive,rj,papa doria pizzaria pizza most expensive rj
