name,category,price_range,estado,texto_recomendacao_limpo
sputnik delivery veggie,vegetariana,cheapest,mg,sputnik delivery veggie vegetariana cheapest mg
confeitos da lara,doces & bolos,cheapest,mg,confeitos da lara doces bolos cheapest mg
olympos food,lanches,cheapest,mg,olympos food lanches cheapest mg
yeshua açaí,açaí,cheapest,mg,yeshua acai acai cheapest mg
garage beer,lanches,moderate,mg,garage beer lanches moderate mg
nesganega africando,africana,moderate,mg,nesganega africando africana moderate mg
top espetos,carnes,cheapest,mg,top espetos carnes cheapest mg
tutu chocolateria,doces & bolos,cheapest,mg,tutu chocolateria doces bolos cheapest mg
paola cakes confeitaria artesanal,doces & bolos,cheapest,mg,paola cakes confeitaria artesanal doces bolos cheapest mg
açaí rápido,sorvetes,cheapest,mg,acai rapido sorvetes cheapest mg
nanda hotdog,lanches,cheapest,mg,nanda hotdog lanches cheapest mg
paradise burger,lanches,cheapest,mg,paradise burger lanches cheapest mg
km burguer,hambúrguer,cheapest,mg,km burguer hamburguer cheapest mg
marmitex grajaú,brasileira,cheapest,mg,marmitex grajau brasileira cheapest mg
kanpai cidade nova,japonesa,moderate,mg,kanpai cidade nova japonesa moderate mg
hinperos burguer,lanches,cheapest,mg,hinperos burguer lanches cheapest mg
açaí cold e lanches,lanches,cheapest,mg,acai cold e lanches lanches cheapest mg
eros restaurante,italiana,cheapest,mg,eros restaurante italiana cheapest mg
⭐ sanduíche do melão,lanches,cheapest,mg,sanduiche do melao lanches cheapest mg
provença delivery,brasileira,cheapest,mg,provenca delivery brasileira cheapest mg
hamburgueria do chef,hambúrguer,cheapest,mg,hamburgueria do chef hamburguer cheapest mg
santíssima confeitaria,doces & bolos,cheapest,mg,santissima confeitaria doces bolos cheapest mg
new florest,lanches,cheapest,mg,new florest lanches cheapest mg
divina batata,lanches,cheapest,mg,divina batata lanches cheapest mg
gabi doces,doces & bolos,cheapest,mg,gabi doces doces bolos cheapest mg
labelle delivery,variada,cheapest,mg,labelle delivery variada cheapest mg
mr. lion,hambúrguer,cheapest,mg,mr lion hamburguer cheapest mg
rico sabor,brasileira,cheapest,mg,rico sabor brasileira cheapest mg
casa do açaí & lanches,açaí,cheapest,mg,casa do acai lanches acai cheapest mg
sabores do lu,brasileira,cheapest,mg,sabores do lu brasileira cheapest mg
la família,brasileira,cheap,mg,la familia brasileira cheap mg
n7 hamburgueria,lanches,expensive,mg,n7 hamburgueria lanches expensive mg
azukre confeitaria,doces & bolos,cheapest,mg,azukre confeitaria doces bolos cheapest mg
hadassa ateliê,doces & bolos,cheapest,mg,hadassa atelie doces bolos cheapest mg
marcia ribeiro buffet,doces & bolos,cheap,mg,marcia ribeiro buffet doces bolos cheap mg
açaí delivida,doces & bolos,cheapest,mg,acai delivida doces bolos cheapest mg
restaurante e hamburgueria tamoios,brasileira,cheapest,mg,restaurante e hamburgueria tamoios brasileira cheapest mg
natural - leve e saudável,saudável,cheapest,mg,natural leve e saudavel saudavel cheapest mg
restaurante bigui,brasileira,cheapest,mg,restaurante bigui brasileira cheapest mg
tória doceria,doces & bolos,cheapest,mg,toria doceria doces bolos cheapest mg
elizandra chocolates gourmet,doces & bolos,cheapest,mg,elizandra chocolates gourmet doces bolos cheapest mg
big fome - búrguer & porções,lanches,cheapest,mg,big fome burguer porcoes lanches cheapest mg
cantinho de minas,brasileira,cheapest,mg,cantinho de minas brasileira cheapest mg
mineirao comidas e lanches,brasileira,cheapest,mg,mineirao comidas e lanches brasileira cheapest mg
big pastel,lanches,cheapest,mg,big pastel lanches cheapest mg
lanchonete milo hamburgueria,hambúrguer,cheapest,mg,lanchonete milo hamburgueria hamburguer cheapest mg
augustu´s burguer,hambúrguer,cheapest,mg,augustu s burguer hamburguer cheapest mg
açaí da ju,açaí,cheapest,mg,acai da ju acai cheapest mg
