name,category,price_range,estado,texto_recomendacao_limpo
villa paulistana higienópolis,brasileira,cheapest,sp,villa paulistana higienopolis brasileira cheapest sp
pirata`s churrascaria,brasileira,cheapest,sp,pirata s churrascaria brasileira cheapest sp
feijuca da lena & cia ✨,brasileira,moderate,sp,feijuca da lena cia brasileira moderate sp
raizes brasileira,brasileira,cheapest,sp,raizes brasileira brasileira cheapest sp
garage house burger,hambúrguer,cheapest,sp,garage house burger hamburguer cheapest sp
bistro barcelos,brasileira,cheapest,sp,bistro barcelos brasileira cheapest sp
mix fit food,saudável,cheap,sp,mix fit food saudavel cheap sp
açaí more,açaí,cheapest,sp,acai more acai cheapest sp
kozan sushi,japonesa,cheapest,sp,kozan sushi japonesa cheapest sp
parábahia bar,nordestina,expensive,sp,parabahia bar nordestina expensive sp
brasa nativa,brasileira,cheapest,sp,brasa nativa brasileira cheapest sp
godjin japanese food - belenzinho,japonesa,most_expensive,sp,godjin japanese food belenzinho japonesa most expensive sp
feijuca da dona rosa - feijoada,brasileira,expensive,sp,feijuca da dona rosa feijoada brasileira expensive sp
classe a hamburgueria vila maria,lanches,expensive,sp,classe a hamburgueria vila maria lanches expensive sp
santo frango crocante,brasileira,cheapest,sp,santo frango crocante brasileira cheapest sp
pizzaria canaã bela vista,pizza,cheap,sp,pizzaria canaa bela vista pizza cheap sp
dom cazuza,brasileira,moderate,sp,dom cazuza brasileira moderate sp
"rei das esfihas - r$2,99",árabe,cheapest,sp,rei das esfihas r 2 99 arabe cheapest sp
baião de todos- ctn limão,brasileira,cheapest,sp,baiao de todos ctn limao brasileira cheapest sp
c&k sabor da vila,brasileira,cheapest,sp,c k sabor da vila brasileira cheapest sp
"lebanon food - kebab, esfihas e beirute",árabe,moderate,sp,lebanon food kebab esfihas e beirute arabe moderate sp
gauchos grill consolação,brasileira,cheapest,sp,gauchos grill consolacao brasileira cheapest sp
wh lippe restaurante,brasileira,cheapest,sp,wh lippe restaurante brasileira cheapest sp
nova viseu,brasileira,cheapest,sp,nova viseu brasileira cheapest sp
restaurante & burguer seu peixoto,lanches,cheapest,sp,restaurante burguer seu peixoto lanches cheapest sp
hiroshi sushi,japonesa,most_expensive,sp,hiroshi sushi japonesa most expensive sp
cantina metrópole,italiana,cheapest,sp,cantina metropole italiana cheapest sp
montemerano pizzeria,italiana,moderate,sp,montemerano pizzeria italiana moderate sp
burger tasty,lanches,cheap,sp,burger tasty lanches cheap sp
marco zero pizzaria,pizza,cheap,sp,marco zero pizzaria pizza cheap sp
oyshio sushi bar,japonesa,most_expensive,sp,oyshio sushi bar japonesa most expensive sp
pizzaria monte zerino,pizza,cheap,sp,pizzaria monte zerino pizza cheap sp
mr. burguer e rotisserie,hambúrguer,moderate,sp,mr burguer e rotisserie hamburguer moderate sp
ebenézer doces,doces & bolos,cheapest,sp,ebenezer doces doces bolos cheapest sp
delicias no pote,doces & bolos,cheapest,sp,delicias no pote doces bolos cheapest sp
mais foods,brasileira,cheapest,sp,mais foods brasileira cheapest sp
tembuí restaurante,brasileira,cheapest,sp,tembui restaurante brasileira cheapest sp
bar e lanches j-n,brasileira,cheapest,sp,bar e lanches j n brasileira cheapest sp
pizzaria sabor sem igual,pizza,cheapest,sp,pizzaria sabor sem igual pizza cheapest sp
restaurante vegetariano e brasileira,vegetariana,cheapest,sp,restaurante vegetariano e brasileira vegetariana cheapest sp
delicias da laine,açaí,cheapest,sp,delicias da laine acai cheapest sp
pizzeria aurichi,pizza,cheapest,sp,pizzeria aurichi pizza cheapest sp
a garagem pastéis e bebidas,pastel,cheapest,sp,a garagem pasteis e bebidas pastel cheapest sp
tutti pizza higienopolis,pizza,cheapest,sp,tutti pizza higienopolis pizza cheapest sp
churrasco da praça- unid.2,carnes,cheapest,sp,churrasco da praca unid 2 carnes cheapest sp
basilicata trattoria,italiana,cheapest,sp,basilicata trattoria italiana cheapest sp
cozinha dos garcia,brasileira,cheapest,sp,cozinha dos garcia brasileira cheapest sp
zest,saudável,cheapest,sp,zest saudavel cheapest sp
hamburgueria dom gourmet,japonesa,cheapest,sp,hamburgueria dom gourmet japonesa cheapest sp
pizzaria emunah,pizza,cheapest,sp,pizzaria emunah pizza cheapest sp
dmkchaça,bebidas,cheapest,sp,dmkchaca bebidas cheapest sp
rock'n' hungry,congelados,cheapest,sp,rock n hungry congelados cheapest sp
sabor brasileiro,brasileira,cheapest,sp,sabor brasileiro brasileira cheapest sp
casa de ferreiro espetos,carnes,cheapest,sp,casa de ferreiro espetos carnes cheapest sp
adega onze onze,bebidas,cheapest,sp,adega onze onze bebidas cheapest sp
bom motivo,brasileira,cheapest,sp,bom motivo brasileira cheapest sp
singané potcha,coreana,cheapest,sp,singane potcha coreana cheapest sp
pizzaria liberdade,pizza,cheapest,sp,pizzaria liberdade pizza cheapest sp
jonh's food,cozinha rápida,cheapest,sp,jonh s food cozinha rapida cheapest sp
"valentin sushi à r$ 0,99",japonesa,cheapest,sp,valentin sushi a r 0 99 japonesa cheapest sp
o rei da fogazza gigante e delicias,italiana,cheapest,sp,o rei da fogazza gigante e delicias italiana cheapest sp
varanda em sua casa,carnes,cheapest,sp,varanda em sua casa carnes cheapest sp
intermezzo rotisseria,carnes,cheapest,sp,intermezzo rotisseria carnes cheapest sp
vegertacks,vegetariana,cheapest,sp,vegertacks vegetariana cheapest sp
pub park burguer,brasileira,cheapest,sp,pub park burguer brasileira cheapest sp
yu ya sushi,japonesa,cheapest,sp,yu ya sushi japonesa cheapest sp
zona sul sushi,japonesa,cheapest,sp,zona sul sushi japonesa cheapest sp
freguesia da portuguesa,portuguesa,cheapest,sp,freguesia da portuguesa portuguesa cheapest sp
don felice,pizza,cheapest,sp,don felice pizza cheapest sp
kidoairaku delivery,japonesa,cheapest,sp,kidoairaku delivery japonesa cheapest sp
restaurante & pizzaria mega tabor,pizza,cheapest,sp,restaurante pizzaria mega tabor pizza cheapest sp
sushi lauzane paulista,japonesa,cheapest,sp,sushi lauzane paulista japonesa cheapest sp
magic doces,doces & bolos,cheapest,sp,magic doces doces bolos cheapest sp
mfc quiches & saladas,salgados,cheapest,sp,mfc quiches saladas salgados cheapest sp
santa salada,saudável,cheapest,sp,santa salada saudavel cheapest sp
black's,lanches,cheapest,sp,black s lanches cheapest sp
pizzaria bella caroline,brasileira,cheapest,sp,pizzaria bella caroline brasileira cheapest sp
pastel do lelê,pastel,cheapest,sp,pastel do lele pastel cheapest sp
aroma e sabor,brasileira,cheapest,sp,aroma e sabor brasileira cheapest sp
mestre do chopp express,bebidas,cheapest,sp,mestre do chopp express bebidas cheapest sp
brigadeiro com vc | mooca,doces & bolos,cheapest,sp,brigadeiro com vc mooca doces bolos cheapest sp
donuts da juju,brasileira,cheapest,sp,donuts da juju brasileira cheapest sp
tempero & sabor,marmita,cheapest,sp,tempero sabor marmita cheapest sp
a palha italiana,doces & bolos,cheapest,sp,a palha italiana doces bolos cheapest sp
cachuf,brasileira,cheapest,sp,cachuf brasileira cheapest sp
pires tapiocaria e café,tapioca,cheapest,sp,pires tapiocaria e cafe tapioca cheapest sp
ka sushi premium,japonesa,expensive,sp,ka sushi premium japonesa expensive sp
sea fish restaurante,peixes,expensive,sp,sea fish restaurante peixes expensive sp
casa da esfiha vila fermino,lanches,cheap,sp,casa da esfiha vila fermino lanches cheap sp
pizzaria bahia,pizza,moderate,sp,pizzaria bahia pizza moderate sp
q sabor,marmita,cheapest,sp,q sabor marmita cheapest sp
pizzaria e esfiharia della italiana,pizza,cheap,sp,pizzaria e esfiharia della italiana pizza cheap sp
yakissoba da cidade,chinesa,moderate,sp,yakissoba da cidade chinesa moderate sp
catedral delivery,brasileira,cheap,sp,catedral delivery brasileira cheap sp
cabana burger jardins,lanches,cheapest,sp,cabana burger jardins lanches cheapest sp
pizzaria sabor do momento,pizza,moderate,sp,pizzaria sabor do momento pizza moderate sp
veggies na praça,saudável,cheap,sp,veggies na praca saudavel cheap sp
sushi nodawa ipiranga,japonesa,moderate,sp,sushi nodawa ipiranga japonesa moderate sp
pizzaria la biondina,pizza,most_expensive,sp,pizzaria la biondina pizza most expensive sp
koba sushi,japonesa,cheapest,sp,koba sushi japonesa cheapest sp
rei dos donuts - zn,doces & bolos,moderate,sp,rei dos donuts zn doces bolos moderate sp
qceviche - barra funda,peruana,cheapest,sp,qceviche barra funda peruana cheapest sp
"drinks,cigarros,lanches e porçoes",bebidas,moderate,sp,drinks cigarros lanches e porcoes bebidas moderate sp
pizzaria gold tradição,pizza,cheap,sp,pizzaria gold tradicao pizza cheap sp
ed carnes 1,brasileira,moderate,sp,ed carnes 1 brasileira moderate sp
ultra burger,lanches,cheapest,sp,ultra burger lanches cheapest sp
chef da villa,brasileira,cheapest,sp,chef da villa brasileira cheapest sp
pastas artezanalle,italiana,moderate,sp,pastas artezanalle italiana moderate sp
baião de todos 2 (ctn limão),brasileira,moderate,sp,baiao de todos 2 ctn limao brasileira moderate sp
comida família lima e hamburguers,brasileira,cheapest,sp,comida familia lima e hamburguers brasileira cheapest sp
pizzaria sampaio,pizza,cheap,sp,pizzaria sampaio pizza cheap sp
restaurante natural sense,brasileira,cheap,sp,restaurante natural sense brasileira cheap sp
sabor real restaurante grill,brasileira,cheapest,sp,sabor real restaurante grill brasileira cheapest sp
yakisoba tamaki,japonesa,cheap,sp,yakisoba tamaki japonesa cheap sp
ponto da esfiha,árabe,cheapest,sp,ponto da esfiha arabe cheapest sp
bem mais simples,brasileira,cheapest,sp,bem mais simples brasileira cheapest sp
familia.jcjh.comida caseira,brasileira,cheapest,sp,familia jcjh comida caseira brasileira cheapest sp
marmitaria r&l,brasileira,cheapest,sp,marmitaria r l brasileira cheapest sp
brigadeiros by cousins,doces & bolos,cheapest,sp,brigadeiros by cousins doces bolos cheapest sp
frango frito vila romana,frangos,cheapest,sp,frango frito vila romana frangos cheapest sp
vila prime steakhouse,brasileira,expensive,sp,vila prime steakhouse brasileira expensive sp
casa da esfiha lapa,lanches,moderate,sp,casa da esfiha lapa lanches moderate sp
sushi inazaki,japonesa,cheapest,sp,sushi inazaki japonesa cheapest sp
hollywood burger,lanches,cheapest,sp,hollywood burger lanches cheapest sp
tutti pizza santa cecilia,pizza,moderate,sp,tutti pizza santa cecilia pizza moderate sp
bob burguer,lanches,cheap,sp,bob burguer lanches cheap sp
restaurante hideki,japonesa,most_expensive,sp,restaurante hideki japonesa most expensive sp
restaurante praça são paulo,variada,cheap,sp,restaurante praca sao paulo variada cheap sp
bistrô o ponto,brasileira,cheapest,sp,bistro o ponto brasileira cheapest sp
sabor grill,brasileira,cheap,sp,sabor grill brasileira cheap sp
yellow veg,vegana,cheapest,sp,yellow veg vegana cheapest sp
nostracasa pizzaria e esfiharia,pizza,cheap,sp,nostracasa pizzaria e esfiharia pizza cheap sp
pizzaria cantinho da pizza jc,pizza,expensive,sp,pizzaria cantinho da pizza jc pizza expensive sp
la franttine pizzaria,pizza,expensive,sp,la franttine pizzaria pizza expensive sp
temaki ken house,japonesa,cheapest,sp,temaki ken house japonesa cheapest sp
dog vida - o melhor dog da silvio romero,lanches,moderate,sp,dog vida o melhor dog da silvio romero lanches moderate sp
boizão grill marginal,brasileira,most_expensive,sp,boizao grill marginal brasileira most expensive sp
𝐿𝑜𝑠 𝑃𝑖𝑧𝑧𝑎𝑖𝑜𝑙𝑙𝑜𝑠,pizza,cheapest,sp,os izzaiollos pizza cheapest sp
10 pastéis,pastel,cheapest,sp,10 pasteis pastel cheapest sp
luk restaurante delivery,brasileira,cheapest,sp,luk restaurante delivery brasileira cheapest sp
bao de cima,saudável,cheapest,sp,bao de cima saudavel cheapest sp
aisuru maki,japonesa,cheapest,sp,aisuru maki japonesa cheapest sp
canto da cerva biergarten,lanches,cheapest,sp,canto da cerva biergarten lanches cheapest sp
horus restaurante egípcio,árabe,cheapest,sp,horus restaurante egipcio arabe cheapest sp
japan sushi,japonesa,cheapest,sp,japan sushi japonesa cheapest sp
sabores de gabriella,brasileira,cheapest,sp,sabores de gabriella brasileira cheapest sp
root's açaí burguer,lanches,cheapest,sp,root s acai burguer lanches cheapest sp
o pastel x,pastel,cheapest,sp,o pastel x pastel cheapest sp
barracozinha,marmita,cheapest,sp,barracozinha marmita cheapest sp
yellow brick,doces & bolos,cheapest,sp,yellow brick doces bolos cheapest sp
sampa sushi,japonesa,cheapest,sp,sampa sushi japonesa cheapest sp
taiko sushi,japonesa,cheapest,sp,taiko sushi japonesa cheapest sp
docinhos da jay,doces & bolos,cheapest,sp,docinhos da jay doces bolos cheapest sp
jansen´s potato,lanches,cheapest,sp,jansen s potato lanches cheapest sp
boaventura,bebidas,cheapest,sp,boaventura bebidas cheapest sp
fk pizzas grupo la sapore,pizza,cheapest,sp,fk pizzas grupo la sapore pizza cheapest sp
mercato bixiga - grupo roperto,variada,cheapest,sp,mercato bixiga grupo roperto variada cheapest sp
hitoshi sushi zn,japonesa,cheapest,sp,hitoshi sushi zn japonesa cheapest sp
"sushi zn por 1,00 real",japonesa,cheapest,sp,sushi zn por 1 00 real japonesa cheapest sp
pudim da day,doces & bolos,cheapest,sp,pudim da day doces bolos cheapest sp
adega glamour bebidas,bebidas,cheapest,sp,adega glamour bebidas bebidas cheapest sp
evany lanches,brasileira,cheapest,sp,evany lanches brasileira cheapest sp
feijoada da si,brasileira,cheapest,sp,feijoada da si brasileira cheapest sp
michel's bake shop & coffee,cafeteria,cheapest,sp,michel s bake shop coffee cafeteria cheapest sp
hawi poke,saudável,cheapest,sp,hawi poke saudavel cheapest sp
hitoshi sushi loja 2,japonesa,cheapest,sp,hitoshi sushi loja 2 japonesa cheapest sp
japa um sushi por 1 real,japonesa,cheapest,sp,japa um sushi por 1 real japonesa cheapest sp
mestre batata,cozinha rápida,cheapest,sp,mestre batata cozinha rapida cheapest sp
casata brigadeiro,doces & bolos,cheapest,sp,casata brigadeiro doces bolos cheapest sp
restaurante opção,brasileira,cheapest,sp,restaurante opcao brasileira cheapest sp
mahalo poke,japonesa,cheapest,sp,mahalo poke japonesa cheapest sp
dow burgers,lanches,cheapest,sp,dow burgers lanches cheapest sp
bull's cave,lanches,cheapest,sp,bull s cave lanches cheapest sp
morenaa doces,doces & bolos,cheapest,sp,morenaa doces doces bolos cheapest sp
texas burger the original,lanches,cheapest,sp,texas burger the original lanches cheapest sp
bodega beco,sorvetes,cheapest,sp,bodega beco sorvetes cheapest sp
hot doug,lanches,cheapest,sp,hot doug lanches cheapest sp
nuts for donuts,doces & bolos,cheapest,sp,nuts for donuts doces bolos cheapest sp
biballoons,conveniência,cheapest,sp,biballoons conveniencia cheapest sp
big burger artesanal,lanches,cheapest,sp,big burger artesanal lanches cheapest sp
sabores da barra,pizza,cheapest,sp,sabores da barra pizza cheapest sp
la griglia by varanda grill – mooca,carnes,cheapest,sp,la griglia by varanda grill mooca carnes cheapest sp
tradição delivery,lanches,cheapest,sp,tradicao delivery lanches cheapest sp
cafe dona eli gril,marmita,cheapest,sp,cafe dona eli gril marmita cheapest sp
burguer do bastião,lanches,cheapest,sp,burguer do bastiao lanches cheapest sp
hiroshi sushi delivery,japonesa,cheapest,sp,hiroshi sushi delivery japonesa cheapest sp
nova rangel refeições e lanches,brasileira,cheapest,sp,nova rangel refeicoes e lanches brasileira cheapest sp
molmoko-hi-,cafeteria,cheapest,sp,molmoko hi cafeteria cheapest sp
chicken prime vila maria,lanches,cheapest,sp,chicken prime vila maria lanches cheapest sp
eat fit - vila maria,saudável,cheapest,sp,eat fit vila maria saudavel cheapest sp
shodai sushi,japonesa,cheapest,sp,shodai sushi japonesa cheapest sp
pizzaria bella fornatta,pizza,cheapest,sp,pizzaria bella fornatta pizza cheapest sp
el shawarma,árabe,cheapest,sp,el shawarma arabe cheapest sp
ateliê tatá ribeiro,doces & bolos,cheapest,sp,atelie tata ribeiro doces bolos cheapest sp
marmitaria vó geni,brasileira,cheapest,sp,marmitaria vo geni brasileira cheapest sp
think burguer artesanal lanches,hambúrguer,cheapest,sp,think burguer artesanal lanches hamburguer cheapest sp
maria fumaça tabacaria e adega,bebidas,cheapest,sp,maria fumaca tabacaria e adega bebidas cheapest sp
razan comida árabe,árabe,cheapest,sp,razan comida arabe arabe cheapest sp
pizzaria top premium,italiana,cheapest,sp,pizzaria top premium italiana cheapest sp
faminto´s burger artesanal,lanches,cheapest,sp,faminto s burger artesanal lanches cheapest sp
kyu poke,saudável,cheapest,sp,kyu poke saudavel cheapest sp
bistrô da cida,brasileira,cheapest,sp,bistro da cida brasileira cheapest sp
villa del pane,pizza,cheapest,sp,villa del pane pizza cheapest sp
empório são leopoldo - pães e doces,padaria,cheapest,sp,emporio sao leopoldo paes e doces padaria cheapest sp
la família burger,lanches,cheapest,sp,la familia burger lanches cheapest sp
maria receitaria,brasileira,cheapest,sp,maria receitaria brasileira cheapest sp
bolo de pote cat cake,doces & bolos,cheapest,sp,bolo de pote cat cake doces bolos cheapest sp
esquina do joaquim,brasileira,cheapest,sp,esquina do joaquim brasileira cheapest sp
abaré pizzarias (centro),pizza,cheapest,sp,abare pizzarias centro pizza cheapest sp
kinho lanches,lanches,cheapest,sp,kinho lanches lanches cheapest sp
cine burguer,hambúrguer,cheapest,sp,cine burguer hamburguer cheapest sp
caramella will,doces & bolos,cheapest,sp,caramella will doces bolos cheapest sp
rota bar 188,brasileira,cheapest,sp,rota bar 188 brasileira cheapest sp
futuro station | burgers fazenda futuro,hambúrguer,cheapest,sp,futuro station burgers fazenda futuro hamburguer cheapest sp
la casa hamburgueria,lanches,cheapest,sp,la casa hamburgueria lanches cheapest sp
bar 31,lanches,cheapest,sp,bar 31 lanches cheapest sp
carvalhos bolos,doces & bolos,cheapest,sp,carvalhos bolos doces bolos cheapest sp
alshekh restaurante árabe,árabe,cheapest,sp,alshekh restaurante arabe arabe cheapest sp
açaí barra norte || - casa verde,açaí,cheapest,sp,acai barra norte casa verde acai cheapest sp
juuh doces,doces & bolos,cheapest,sp,juuh doces doces bolos cheapest sp
don precilla burguer,lanches,cheapest,sp,don precilla burguer lanches cheapest sp
viana pizzaria delivery,pizza,cheapest,sp,viana pizzaria delivery pizza cheapest sp
confeitaria francielli ferreira,doces & bolos,cheapest,sp,confeitaria francielli ferreira doces bolos cheapest sp
maki sushi,japonesa,cheapest,sp,maki sushi japonesa cheapest sp
tuitá,sorvetes,cheapest,sp,tuita sorvetes cheapest sp
pizzaria borda de ouro,pizza,cheapest,sp,pizzaria borda de ouro pizza cheapest sp
poke select,japonesa,cheapest,sp,poke select japonesa cheapest sp
gi marmita fit,marmita,cheapest,sp,gi marmita fit marmita cheapest sp
mclaren,pizza,cheapest,sp,mclaren pizza cheapest sp
pizzaria frazao,pizza,cheapest,sp,pizzaria frazao pizza cheapest sp
bueno's burguer,lanches,cheapest,sp,bueno s burguer lanches cheapest sp
padaria nova suzana,padaria,cheapest,sp,padaria nova suzana padaria cheapest sp
pizzaria pizzacodélica,pizza,cheapest,sp,pizzaria pizzacodelica pizza cheapest sp
sr espetto braz leme,brasileira,cheapest,sp,sr espetto braz leme brasileira cheapest sp
refeicoes cordeiro's,marmita,cheapest,sp,refeicoes cordeiro s marmita cheapest sp
acarajé dona dió,baiana,cheapest,sp,acaraje dona dio baiana cheapest sp
adega 2 irmaos,bebidas,cheapest,sp,adega 2 irmaos bebidas cheapest sp
yeast italian pizza shop,pizza,cheapest,sp,yeast italian pizza shop pizza cheapest sp
thaila lopes patisserie,brasileira,cheapest,sp,thaila lopes patisserie brasileira cheapest sp
hamburgueria artesanal da sami,lanches,cheapest,sp,hamburgueria artesanal da sami lanches cheapest sp
cantina pagliari,italiana,cheapest,sp,cantina pagliari italiana cheapest sp
delicias fritas,lanches,cheapest,sp,delicias fritas lanches cheapest sp
nova general,brasileira,cheapest,sp,nova general brasileira cheapest sp
casa do norte - riquezas do sertão,nordestina,cheapest,sp,casa do norte riquezas do sertao nordestina cheapest sp
lp burguer,lanches,cheapest,sp,lp burguer lanches cheapest sp
panificadora nova dubom,padaria,cheapest,sp,panificadora nova dubom padaria cheapest sp
clube das marmitas,congelados,cheapest,sp,clube das marmitas congelados cheapest sp
lis açucarada,doces & bolos,cheapest,sp,lis acucarada doces bolos cheapest sp
feed the animal - comida vegana,vegana,cheapest,sp,feed the animal comida vegana vegana cheapest sp
o melhor chocottone - mooca,doces & bolos,cheapest,sp,o melhor chocottone mooca doces bolos cheapest sp
denise food corner,lanches,cheapest,sp,denise food corner lanches cheapest sp
restaurante vipaladar,marmita,cheapest,sp,restaurante vipaladar marmita cheapest sp
ragazzo congelados - liberdade,mercado,cheapest,sp,ragazzo congelados liberdade mercado cheapest sp
larica vegana,vegetariana,cheapest,sp,larica vegana vegetariana cheapest sp
alidoce gourmet,doces & bolos,cheapest,sp,alidoce gourmet doces bolos cheapest sp
esfiha do naha - higienópolis,árabe,cheapest,sp,esfiha do naha higienopolis arabe cheapest sp
burguer boss,lanches,cheapest,sp,burguer boss lanches cheapest sp
tô burguer,lanches,cheapest,sp,to burguer lanches cheapest sp
kansha sushi e temakeria -lapa,japonesa,cheapest,sp,kansha sushi e temakeria lapa japonesa cheapest sp
república do macarrão,brasileira,cheapest,sp,republica do macarrao brasileira cheapest sp
milho verde,saudável,cheapest,sp,milho verde saudavel cheapest sp
lanchonete pit stop,lanches,cheapest,sp,lanchonete pit stop lanches cheapest sp
panela quente jardins,brasileira,cheapest,sp,panela quente jardins brasileira cheapest sp
rangotop,marmita,cheapest,sp,rangotop marmita cheapest sp
sabor e amor,açaí,cheapest,sp,sabor e amor acai cheapest sp
santa pinga,brasileira,cheapest,sp,santa pinga brasileira cheapest sp
feijoada do john,brasileira,cheapest,sp,feijoada do john brasileira cheapest sp
hiro sushi 🍣,japonesa,cheapest,sp,hiro sushi japonesa cheapest sp
sabores do copan,marmita,cheapest,sp,sabores do copan marmita cheapest sp
frango frities delivery,frangos,cheapest,sp,frango frities delivery frangos cheapest sp
tata's brigadeiros artesanais,doces & bolos,cheapest,sp,tata s brigadeiros artesanais doces bolos cheapest sp
amore pizza,pizza,cheapest,sp,amore pizza pizza cheapest sp
doc vinhos sp,bebidas,cheapest,sp,doc vinhos sp bebidas cheapest sp
the flash hambúrgueria,lanches,cheapest,sp,the flash hamburgueria lanches cheapest sp
casa do chocolate,doces & bolos,cheapest,sp,casa do chocolate doces bolos cheapest sp
restaurante baboo,brasileira,cheapest,sp,restaurante baboo brasileira cheapest sp
espeto com pão,lanches,cheapest,sp,espeto com pao lanches cheapest sp
júlia fedato doces. brigadeiros gourmet,doces & bolos,cheapest,sp,julia fedato doces brigadeiros gourmet doces bolos cheapest sp
dog loko lanches e açaí,lanches,cheapest,sp,dog loko lanches e acai lanches cheapest sp
hot rolls,japonesa,cheapest,sp,hot rolls japonesa cheapest sp
sabor vip,brasileira,cheapest,sp,sabor vip brasileira cheapest sp
brod pães artesanais e tortas,padaria,cheapest,sp,brod paes artesanais e tortas padaria cheapest sp
divine hambúrguer,lanches,cheapest,sp,divine hamburguer lanches cheapest sp
meat freaks,lanches,cheapest,sp,meat freaks lanches cheapest sp
pizzeria buon volo,pizza,cheapest,sp,pizzeria buon volo pizza cheapest sp
hamburgueria projeto crazy,lanches,cheapest,sp,hamburgueria projeto crazy lanches cheapest sp
cidoka doces,doces & bolos,cheapest,sp,cidoka doces doces bolos cheapest sp
pepper & sugar comfort food,brasileira,cheapest,sp,pepper sugar comfort food brasileira cheapest sp
jota jota lanches e tapiocas,lanches,cheapest,sp,jota jota lanches e tapiocas lanches cheapest sp
cor e sabor,brasileira,cheapest,sp,cor e sabor brasileira cheapest sp
barletta ristorante,italiana,cheapest,sp,barletta ristorante italiana cheapest sp
caribe´s açai,açaí,cheapest,sp,caribe s acai acai cheapest sp
bacalhau do mau mau,portuguesa,cheapest,sp,bacalhau do mau mau portuguesa cheapest sp
restaurante sabor natural,marmita,cheapest,sp,restaurante sabor natural marmita cheapest sp
fams - burgers gourmet,lanches,cheapest,sp,fams burgers gourmet lanches cheapest sp
restaurante e lanchonete da loira,brasileira,cheapest,sp,restaurante e lanchonete da loira brasileira cheapest sp
de la verga,brasileira,cheapest,sp,de la verga brasileira cheapest sp
tempero de casa,marmita,cheapest,sp,tempero de casa marmita cheapest sp
pitbuteco,marmita,cheapest,sp,pitbuteco marmita cheapest sp
pizza rans,pizza,cheapest,sp,pizza rans pizza cheapest sp
a marques,lanches,cheapest,sp,a marques lanches cheapest sp
donut by mike,doces & bolos,cheapest,sp,donut by mike doces bolos cheapest sp
lanches dg,lanches,cheapest,sp,lanches dg lanches cheapest sp
484 gastrobar,brasileira,cheapest,sp,484 gastrobar brasileira cheapest sp
sterna café - jardim das perdizes,cozinha rápida,cheapest,sp,sterna cafe jardim das perdizes cozinha rapida cheapest sp
pasteis & dogs paulista- aclimação,lanches,cheapest,sp,pasteis dogs paulista aclimacao lanches cheapest sp
mantovani & nunes,lanches,cheapest,sp,mantovani nunes lanches cheapest sp
marmitex cozinha da ly,marmita,cheapest,sp,marmitex cozinha da ly marmita cheapest sp
casa da esfiha direitos humanos,lanches,cheapest,sp,casa da esfiha direitos humanos lanches cheapest sp
toca do escondidinho,brasileira,cheapest,sp,toca do escondidinho brasileira cheapest sp
marmitando,brasileira,cheapest,sp,marmitando brasileira cheapest sp
cafe e lanchonete gira sol,cafeteria,cheapest,sp,cafe e lanchonete gira sol cafeteria cheapest sp
melci cacau,doces & bolos,cheapest,sp,melci cacau doces bolos cheapest sp
gata preta burger,lanches,cheapest,sp,gata preta burger lanches cheapest sp
pastel da cris,brasileira,cheapest,sp,pastel da cris brasileira cheapest sp
comida vip,brasileira,cheapest,sp,comida vip brasileira cheapest sp
a casa do baião de dois,brasileira,cheapest,sp,a casa do baiao de dois brasileira cheapest sp
bella ateliê,doces & bolos,cheapest,sp,bella atelie doces bolos cheapest sp
lanches l&b,lanches,cheapest,sp,lanches l b lanches cheapest sp
boteco do português,brasileira,cheapest,sp,boteco do portugues brasileira cheapest sp
inazuma expresso delivery,japonesa,cheapest,sp,inazuma expresso delivery japonesa cheapest sp
casa do sushi 1 real,japonesa,cheapest,sp,casa do sushi 1 real japonesa cheapest sp
restaurante pimento 3 cores,brasileira,cheapest,sp,restaurante pimento 3 cores brasileira cheapest sp
yasu sushi delivery,saudável,cheapest,sp,yasu sushi delivery saudavel cheapest sp
mansão do hambúrguer,hambúrguer,cheapest,sp,mansao do hamburguer hamburguer cheapest sp
vellcakes,doces & bolos,cheapest,sp,vellcakes doces bolos cheapest sp
comida da nona,italiana,cheapest,sp,comida da nona italiana cheapest sp
cassia doces & batatinhas delivery,brasileira,cheapest,sp,cassia doces batatinhas delivery brasileira cheapest sp
pizzaria top 10,pizza,cheapest,sp,pizzaria top 10 pizza cheapest sp
obuke yakissoba delivery,japonesa,cheapest,sp,obuke yakissoba delivery japonesa cheapest sp
fitnita - congelados fit - saudável,congelados,cheapest,sp,fitnita congelados fit saudavel congelados cheapest sp
campo cafe e restaurante,marmita,cheapest,sp,campo cafe e restaurante marmita cheapest sp
casa rara grill,brasileira,cheapest,sp,casa rara grill brasileira cheapest sp
bella escolha,brasileira,cheapest,sp,bella escolha brasileira cheapest sp
café do mágico,brasileira,cheapest,sp,cafe do magico brasileira cheapest sp
tuqui bar e restaurante,brasileira,cheapest,sp,tuqui bar e restaurante brasileira cheapest sp
espetinho nabrasa tatuapé,carnes,cheapest,sp,espetinho nabrasa tatuape carnes cheapest sp
casa dos fundos tap house,bebidas,cheapest,sp,casa dos fundos tap house bebidas cheapest sp
black donald's,lanches,cheapest,sp,black donald s lanches cheapest sp
churrascaria marginal grill,brasileira,cheapest,sp,churrascaria marginal grill brasileira cheapest sp
fino sabor,doces & bolos,cheapest,sp,fino sabor doces bolos cheapest sp
domingos hot dog,lanches,cheapest,sp,domingos hot dog lanches cheapest sp
